timestamp	step	train/acc
1664187117745	0	0.8960166573524475
1664187121525	1	0.9554666876792908
1664187125296	2	0.9677333235740662
1664187129099	3	0.9729166626930237
1664187132913	4	0.9775833487510681
1664187136705	5	0.9793499708175659
1664187140440	6	0.9819499850273132
1664187144179	7	0.9835333228111267
1664187147900	8	0.9850500226020813
1664187151631	9	0.9864333271980286
1664187155376	10	0.9877166748046875
1664187159141	11	0.9883000254631042
1664187162892	12	0.9894166588783264
1664187166666	13	0.9900000095367432
1664187170426	14	0.9909999966621399
