timestamp	step	train/loss
1664187117744	0	0.34674784541130066
1664187121525	1	0.14797234535217285
1664187125296	2	0.10635346919298172
1664187129099	3	0.08589939028024673
1664187132913	4	0.06980443745851517
1664187136705	5	0.06384040415287018
1664187140439	6	0.05549585074186325
1664187144179	7	0.05038359388709068
1664187147899	8	0.04484080895781517
1664187151630	9	0.04123406857252121
1664187155376	10	0.037885986268520355
1664187159140	11	0.034474607557058334
1664187162892	12	0.03126543015241623
1664187166665	13	0.02993153966963291
1664187170426	14	0.026967566460371017
